mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,C,l1_ratio,mean_auc,std_auc,rank,n_nonzero
0.10899143218994141,0.013262218681413633,0.0022922039031982424,0.0011363927831287823,0.005,0.5,"{'model__C': 0.005, 'model__l1_ratio': 0.5}",0.7835993523016422,0.7848716169326857,0.6828591256072172,0.7174415914873931,0.7703379953379954,0.7478219363333867,0.04074998740952026,28,0.005,0.5,0.7478219363333867,0.04074998740952026,28,8
0.14825611114501952,0.0616726028527379,0.0012544631958007813,0.0003881998808929514,0.01,0.5,"{'model__C': 0.01, 'model__l1_ratio': 0.5}",0.7900763358778626,0.8291695581771917,0.7068008327550311,0.7750983113578533,0.7956876456876457,0.7793665367711169,0.04036190897832904,22,0.01,0.5,0.7793665367711169,0.04036190897832904,22,14
0.17463417053222657,0.14204690773875092,0.0013030052185058593,0.0004005709252534622,0.02,0.5,"{'model__C': 0.02, 'model__l1_ratio': 0.5}",0.791117279666898,0.833911635438353,0.7153597039093222,0.7829053897756187,0.8150349650349651,0.7876657947650314,0.04037448263290064,13,0.02,0.5,0.7876657947650314,0.04037448263290064,13,32
0.08577837944030761,0.02214166267825476,0.0014030933380126953,0.0004904674319582174,0.05,0.5,"{'model__C': 0.05, 'model__l1_ratio': 0.5}",0.7735368956743003,0.8432801295396716,0.7434651862132777,0.7861438815637288,0.8417249417249417,0.797630206943184,0.039177886256999805,1,0.05,0.5,0.797630206943184,0.039177886256999805,1,47
0.13545165061950684,0.03770595620139128,0.0010032176971435547,6.106495129998063e-07,0.1,0.5,"{'model__C': 0.1, 'model__l1_ratio': 0.5}",0.7612768910478833,0.8407356002775849,0.7464723571593801,0.7832523710386305,0.8481351981351981,0.7959744835317354,0.041329247044016595,4,0.1,0.5,0.7959744835317354,0.041329247044016595,4,55
0.25288891792297363,0.09229761984990371,0.0010023117065429688,1.4463187110999203e-06,0.2,0.5,"{'model__C': 0.2, 'model__l1_ratio': 0.5}",0.7539902845246357,0.8319454082812862,0.7421929215822345,0.7818644459865834,0.8502331002331003,0.792045232121568,0.04246158819917907,10,0.2,0.5,0.792045232121568,0.04246158819917907,10,65
0.5461490631103516,0.16774023357098844,0.001511383056640625,0.0004483572638514928,0.5,0.5,"{'model__C': 0.5, 'model__l1_ratio': 0.5}",0.7492482072634745,0.8218829516539441,0.7352532963219985,0.7765440666204024,0.8425407925407925,0.7850938628801225,0.041220574711546484,17,0.5,0.5,0.7850938628801225,0.041220574711546484,17,71
0.7829749107360839,0.15325993298582932,0.00129547119140625,0.00039732790907495306,1.0,0.5,"{'model__C': 1.0, 'model__l1_ratio': 0.5}",0.7456627342123524,0.8181818181818181,0.7314365024288689,0.772380291464261,0.8356643356643357,0.7806651363903272,0.04037246227025295,21,1.0,0.5,0.7806651363903272,0.04037246227025295,21,76
0.03603353500366211,0.0073111077155796735,0.0012444496154785157,0.0004818921275073082,0.005,0.8,"{'model__C': 0.005, 'model__l1_ratio': 0.8}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,30,0.005,0.8,0.5,0.0,30,2
0.14965028762817384,0.05821954852905456,0.001002931594848633,1.0293499538861706e-06,0.01,0.8,"{'model__C': 0.01, 'model__l1_ratio': 0.8}",0.797825584085126,0.8033194540828128,0.7107332870691649,0.7395905621096461,0.7706876456876457,0.7644313066068792,0.035120214835752894,26,0.01,0.8,0.7644313066068792,0.035120214835752894,26,9
